program,user,system,elapsed,user_system
s02_python_pandas_csv,7.44,2.11,8.51,9.84
s02_python_pandas_parquet,2.33,1.55,2.5,4.03
s02_python_polars_eager_csv,5.43,0.77,0.7,6.31
s02_python_polars_eager_parquet,1.99,0.55,0.5,2.78
s02_python_polars_lazy_csv,5.39,0.57,0.73,6.37
s02_python_polars_lazy_parquet,2.02,0.59,0.51,2.8
s02_rust_polars_eager_csv,10.18,0.85,1.46,11.280000000000001
s02_rust_polars_eager_parquet,6.12,0.66,1.21,7.0
s02_rust_polars_lazy_csv,8.28,0.87,0.95,9.42
s02_rust_polars_lazy_parquet,4.14,0.78,0.68,5.13
